1:FourPixel,
Transient Analysis,
Tue Nov 20 15:05:46 2018,
Input file: \\tsclient\C\Users\marku\Documents\ICdrit\FourPixel.cir,
time [sec],v(vdd) [V],v(11:n1) [V],v(expose) [V],v(11:n2) [V],v(erase) [V],v(11:n3) [V],v(nre_r1) [V],v(out1) [V],v(12:n1) [V],v(12:n2) [V],v(12:n3) [V],v(out2) [V],v(21:n1) [V],v(21:n2) [V],v(21:n3) [V],v(nre_r2) [V],v(22:n1) [V],v(22:n2) [V],v(22:n3) [V],v(m:22:c.drain) [V],v(m:22:c.source) [V],v(m:22:p4.drain) [V],v(m:22:p4.source) [V],v(m:22:p3.drain) [V],v(m:22:p3.source) [V],v(m:21:c.drain) [V],v(m:21:c.source) [V],v(m:21:p4.drain) [V],v(m:21:p4.source) [V],v(m:21:p3.drain) [V],v(m:21:p3.source) [V],v(m:12:c.drain) [V],v(m:12:c.source) [V],v(m:12:p4.drain) [V],v(m:12:p4.source) [V],v(m:12:p3.drain) [V],v(m:12:p3.source) [V],v(m:11:c.drain) [V],v(m:11:c.source) [V],v(m:11:p4.drain) [V],v(m:11:p4.source) [V],v(m:11:p3.drain) [V],v(m:11:p3.source) [V],v(m:22:n2.drain) [V],v(m:22:n2.source) [V],v(m:22:n1.drain) [V],v(m:22:n1.source) [V],v(m:21:n2.drain) [V],v(m:21:n2.source) [V],v(m:21:n1.drain) [V],v(m:21:n1.source) [V],v(m:12:n2.drain) [V],v(m:12:n2.source) [V],v(m:12:n1.drain) [V],v(m:12:n1.source) [V],v(m:11:n2.drain) [V],v(m:11:n2.source) [V],v(m:11:n1.drain) [V],v(m:11:n1.source) [V],i(vnre_r2) [A],i(vnre_r1) [A],i(verase) [A],i(vexpose) [A],i(vdd) [A],
0.00139228,1.8,0.18132,1.8,0.18132,0,0.529649,1.8,1.7594,0.181319,0.181319,0.529637,1.75938,0.18132,0.18132,0.529649,1.8,0.184496,0.184496,0.53103,1.75938,1.8,0.53103,1.75938,1.06958e-10,0.53103,1.7594,1.8,0.529649,1.7594,1.10344e-10,0.529649,1.75938,1.8,0.529637,1.75938,1.10307e-10,0.529637,1.7594,1.8,0.529649,1.7594,1.10344e-10,0.529649,0.184496,4.10557e-11,0.184496,0.184496,0.18132,4.1053e-11,0.18132,0.18132,0.181319,4.1053e-11,0.181319,0.181319,0.18132,4.1053e-11,0.18132,0.18132,1.89289e-13,1.59067e-13,1.92254e-13,8.92567e-12,-2.71909e-10,
0.00149774,1.8,0.184612,1.8,0.184612,0,0.531758,1.8,1.7594,0.184612,0.184612,0.531746,1.75938,0.184612,0.184612,0.531758,1.8,0.187763,0.187763,0.534172,1.75938,1.8,0.534172,1.75938,1.08141e-10,0.534172,1.7594,1.8,0.531758,1.7594,1.0865e-10,0.531758,1.75938,1.8,0.531746,1.75938,1.08615e-10,0.531746,1.7594,1.8,0.531758,1.7594,1.0865e-10,0.531758,0.187763,4.10576e-11,0.187763,0.187763,0.184612,4.10554e-11,0.184612,0.184612,0.184612,4.10554e-11,0.184612,0.184612,0.184612,4.10554e-11,0.184612,0.184612,4.91295e-13,3.87578e-13,1.95902e-13,8.78774e-12,-2.69196e-10,
0.00170867,1.8,0.191196,1.8,0.191196,0,0.537071,1.8,1.7594,0.191196,0.191196,0.537059,1.75938,0.191196,0.191196,0.537071,1.8,0.194319,0.194319,0.539263,1.75938,1.8,0.539263,1.75938,1.08116e-10,0.539263,1.7594,1.8,0.537071,1.7594,1.0899e-10,0.537071,1.75938,1.8,0.537059,1.75938,1.08954e-10,0.537059,1.7594,1.8,0.537071,1.7594,1.0899e-10,0.537071,0.194319,4.10604e-11,0.194319,0.194319,0.191196,4.10589e-11,0.191196,0.191196,0.191196,4.10589e-11,0.191196,0.191196,0.191196,4.10589e-11,0.191196,0.191196,1.82933e-13,3.01112e-13,1.43413e-13,8.89787e-12,-2.72186e-10,
0.00213052,1.8,0.204336,1.8,0.204336,0,0.547062,1.8,1.75941,0.204336,0.204336,0.54705,1.75938,0.204336,0.204336,0.547062,1.8,0.207407,0.207407,0.549875,1.75938,1.8,0.549875,1.75938,1.08549e-10,0.549875,1.75941,1.8,0.547062,1.75941,1.07567e-10,0.547062,1.75938,1.8,0.54705,1.75938,1.07533e-10,0.54705,1.75941,1.8,0.547062,1.75941,1.07567e-10,0.547062,0.207407,4.10625e-11,0.207407,0.207407,0.204336,4.10622e-11,0.204336,0.204336,0.204336,4.10622e-11,0.204336,0.204336,0.204336,4.10622e-11,0.204336,0.204336,4.75143e-13,5.59435e-13,1.952e-13,8.75088e-12,-2.68956e-10,
0.00297422,1.8,0.230522,1.8,0.230522,0,0.568287,1.8,1.75942,0.230522,0.230522,0.568275,1.7594,0.230522,0.230522,0.568287,1.8,0.233461,0.233461,0.569834,1.7594,1.8,0.569834,1.7594,1.05963e-10,0.569834,1.75942,1.8,0.568287,1.75942,1.0821e-10,0.568287,1.7594,1.8,0.568275,1.7594,1.08174e-10,0.568275,1.75942,1.8,0.568287,1.75942,1.0821e-10,0.568287,0.233461,4.10565e-11,0.233461,0.233461,0.230522,4.10576e-11,0.230522,0.230522,0.230522,4.10576e-11,0.230522,0.230522,0.230522,4.10576e-11,0.230522,0.230522,1.92124e-13,1.28328e-13,1.41051e-13,8.87117e-12,-2.71515e-10,
0.00417422,1.8,0.267531,1.8,0.267531,0,0.597039,1.8,1.75944,0.267531,0.267531,0.597027,1.75941,0.267531,0.267531,0.597039,1.8,0.270304,0.270304,0.599303,1.75941,1.8,0.599303,1.75941,1.06003e-10,0.599303,1.75944,1.8,0.597039,1.75944,1.05919e-10,0.597039,1.75941,1.8,0.597027,1.75941,1.05885e-10,0.597027,1.75944,1.8,0.597039,1.75944,1.05919e-10,0.597039,0.270304,4.10336e-11,0.270304,0.270304,0.267531,4.10357e-11,0.267531,0.267531,0.267531,4.10357e-11,0.267531,0.267531,0.267531,4.10357e-11,0.267531,0.267531,4.75957e-13,4.74412e-13,1.90141e-13,8.63019e-12,-2.67914e-10,
0.00537422,1.8,0.304278,1.8,0.304278,0,0.626254,1.8,1.75945,0.304278,0.304278,0.626242,1.75943,0.304278,0.304278,0.626254,1.8,0.306873,0.306873,0.627792,1.75943,1.8,0.627792,1.75943,1.04123e-10,0.627792,1.75945,1.8,0.626254,1.75945,1.05569e-10,0.626254,1.75943,1.8,0.626242,1.75943,1.05535e-10,0.626242,1.75945,1.8,0.626254,1.75945,1.05569e-10,0.626254,0.306873,4.10015e-11,0.306873,0.306873,0.304278,4.10039e-11,0.304278,0.304278,0.304278,4.10039e-11,0.304278,0.304278,0.304278,4.10039e-11,0.304278,0.304278,1.81436e-13,1.91246e-13,1.42679e-13,8.75702e-12,-2.70387e-10,
0.00657422,1.8,0.340745,1.8,0.340745,0,0.654636,1.8,1.75947,0.340745,0.340745,0.654625,1.75945,0.340745,0.340745,0.654636,1.8,0.343189,0.343189,0.656542,1.75945,1.8,0.656542,1.75945,1.03576e-10,0.656542,1.75947,1.8,0.654636,1.75947,1.0374e-10,0.654636,1.75945,1.8,0.654625,1.75945,1.03709e-10,0.654625,1.75947,1.8,0.654636,1.75947,1.0374e-10,0.654636,0.343189,4.09643e-11,0.343189,0.343189,0.340745,4.0967e-11,0.340745,0.340745,0.340745,4.0967e-11,0.340745,0.340745,0.340745,4.0967e-11,0.340745,0.340745,4.69483e-13,4.55497e-13,1.86188e-13,8.50004e-12,-2.66672e-10,
0.00777422,1.8,0.37694,1.8,0.37694,0,0.683323,1.8,1.75949,0.37694,0.37694,0.683311,1.75947,0.37694,0.37694,0.683323,1.8,0.37926,0.37926,0.684628,1.75947,1.8,0.684628,1.75947,1.01903e-10,0.684628,1.75949,1.8,0.683323,1.75949,1.03315e-10,0.683323,1.75947,1.8,0.683311,1.75947,1.03283e-10,0.683311,1.75949,1.8,0.683323,1.75949,1.03315e-10,0.683323,0.37926,4.09245e-11,0.37926,0.37926,0.37694,4.09271e-11,0.37694,0.37694,0.37694,4.09271e-11,0.37694,0.37694,0.37694,4.09271e-11,0.37694,0.37694,1.64398e-13,1.60337e-13,1.41749e-13,8.57131e-12,-2.69109e-10,
0.00897422,1.8,0.412879,1.8,0.412879,0,0.711176,1.8,1.75951,0.412879,0.412879,0.711164,1.75949,0.412879,0.412879,0.711176,1.8,0.415031,0.415031,0.712863,1.75949,1.8,0.712863,1.75949,1.0134e-10,0.712863,1.75951,1.8,0.711176,1.75951,1.01449e-10,0.711176,1.75949,1.8,0.711164,1.75949,1.01419e-10,0.711164,1.75951,1.8,0.711176,1.75951,1.01449e-10,0.711176,0.415031,4.08833e-11,0.415031,0.415031,0.412879,4.08858e-11,0.412879,0.412879,0.412879,4.08858e-11,0.412879,0.412879,0.412879,4.08858e-11,0.412879,0.412879,4.71469e-13,4.74354e-13,1.80435e-13,8.4334e-12,-2.65539e-10,
